user_id,variant,segment,started_test,completed_test,viewed_report,purchased,refunded
control_55,control,returning,False,False,False,False,False
control_56,control,new,True,True,True,False,False
control_57,control,new,False,False,False,False,False
control_58,control,new,True,True,True,False,False
control_59,control,new,False,False,False,False,False
control_60,control,returning,False,False,False,False,False
control_61,control,new,True,True,True,False,False
control_62,control,new,True,True,True,False,False
control_63,control,returning,True,True,True,False,False
control_64,control,returning,True,False,False,False,False
control_65,control,new,False,False,False,False,False
control_66,control,new,True,True,True,True,False
control_67,control,new,True,True,False,False,False
control_68,control,new,False,False,False,False,False
control_69,control,new,True,False,False,False,False
control_70,control,new,True,True,True,True,False
control_71,control,new,True,True,True,False,False
control_72,control,returning,True,True,True,False,False
control_73,control,new,True,True,True,False,False
control_74,control,new,True,False,False,False,False
control_75,control,new,True,True,False,False,False
control_76,control,new,True,True,True,True,False
control_77,control,returning,True,True,False,False,False
control_78,control,new,True,False,False,False,False
control_79,control,returning,True,False,False,False,False
control_80,control,returning,True,True,False,False,False
control_81,control,new,True,True,True,False,False
control_82,control,returning,True,True,True,False,False
control_83,control,new,True,True,True,False,False
control_84,control,new,True,True,True,False,False
control_85,control,new,False,False,False,False,False
control_86,control,returning,True,False,False,False,False
control_87,control,new,True,True,True,True,False
control_88,control,new,True,True,True,False,False
control_89,control,new,True,True,True,False,False
control_90,control,new,True,True,True,False,False
control_91,control,returning,False,False,False,False,False
control_92,control,new,False,False,False,False,False
control_93,control,new,True,False,False,False,False
control_94,control,new,True,True,True,False,False
control_95,control,returning,True,False,False,False,False
control_96,control,new,True,True,True,False,False
control_97,control,new,True,True,True,True,False
control_98,control,new,True,True,True,False,False
control_99,control,returning,False,False,False,False,False
control_100,control,returning,True,True,True,False,False
control_101,control,returning,True,True,True,False,False
control_102,control,new,True,True,True,False,False
control_103,control,returning,True,True,True,False,False
control_104,control,returning,False,False,False,False,False
control_105,control,returning,True,True,True,False,False
control_106,control,new,True,True,True,True,False
control_107,control,new,True,False,False,False,False
control_108,control,new,False,False,False,False,False
control_109,control,returning,True,True,True,False,False
control_110,control,new,True,True,True,False,False
control_111,control,new,False,False,False,False,False
control_112,control,new,False,False,False,False,False
control_113,control,new,True,True,True,False,False
control_114,control,new,False,False,False,False,False
control_115,control,returning,True,False,False,False,False
control_116,control,returning,True,True,True,False,False
control_117,control,returning,False,False,False,False,False
control_118,control,new,True,True,True,False,False
control_119,control,returning,True,True,True,False,False
control_120,control,new,False,False,False,False,False
control_121,control,returning,False,False,False,False,False
control_122,control,new,False,False,False,False,False
control_123,control,new,True,True,False,False,False
control_124,control,new,False,False,False,False,False
control_125,control,new,True,True,True,False,False
control_126,control,new,True,True,True,False,False
control_127,control,new,True,True,True,False,False
control_128,control,new,False,False,False,False,False
control_129,control,new,False,False,False,False,False
control_130,control,new,True,True,True,True,False
control_131,control,returning,True,False,False,False,False
control_132,control,new,True,False,False,False,False
control_133,control,new,True,False,False,False,False
control_134,control,new,True,True,True,False,False
control_135,control,new,True,True,True,False,False
control_136,control,returning,True,True,True,False,False
control_137,control,new,False,False,False,False,False
control_138,control,returning,True,True,True,True,False
control_139,control,new,False,False,False,False,False
control_140,control,new,True,True,True,False,False
control_141,control,new,True,True,True,False,False
control_142,control,returning,True,True,True,False,False
control_143,control,new,True,True,True,False,False
control_144,control,new,True,True,True,False,False
control_145,control,new,True,True,True,False,False
control_146,control,new,True,True,True,True,False
control_147,control,new,True,True,True,False,False
control_148,control,new,True,False,False,False,False
control_149,control,new,True,True,True,True,False
control_150,control,returning,True,True,True,False,False
control_151,control,returning,True,True,True,True,False
control_152,control,new,True,True,True,False,False
control_153,control,new,True,False,False,False,False
control_154,control,new,True,True,True,False,False
control_155,control,returning,True,False,False,False,False
control_156,control,new,False,False,False,False,False
control_157,control,returning,True,True,True,False,False
control_158,control,returning,True,True,True,False,False
control_159,control,returning,True,True,False,False,False
control_160,control,new,True,True,True,False,False
control_161,control,returning,True,True,True,False,False
control_162,control,new,False,False,False,False,False
control_163,control,new,True,True,True,True,False
control_164,control,new,True,True,True,True,False
control_165,control,new,True,True,True,True,False
control_166,control,returning,True,True,True,False,False
control_167,control,returning,True,False,False,False,False
control_168,control,new,True,True,True,False,False
control_169,control,returning,True,True,True,False,False
control_170,control,new,False,False,False,False,False
control_171,control,new,True,True,True,True,False
control_172,control,new,False,False,False,False,False
control_173,control,returning,True,True,True,True,False
control_174,control,new,False,False,False,False,False
control_175,control,new,True,False,False,False,False
control_176,control,new,True,True,True,False,False
control_177,control,returning,False,False,False,False,False
control_178,control,returning,True,True,True,False,False
control_179,control,returning,False,False,False,False,False
control_180,control,returning,True,True,True,False,False
control_181,control,returning,True,True,True,False,False
control_182,control,new,True,True,False,False,False
control_183,control,new,True,True,True,True,False
control_184,control,returning,False,False,False,False,False
control_185,control,returning,False,False,False,False,False
control_186,control,new,True,True,True,False,False
control_187,control,new,True,True,True,False,False
control_188,control,returning,True,True,True,False,False
control_189,control,new,True,False,False,False,False
control_190,control,returning,True,True,True,False,False
control_191,control,new,True,False,False,False,False
control_192,control,new,True,True,True,False,False
control_193,control,returning,False,False,False,False,False
control_194,control,new,True,False,False,False,False
control_195,control,new,True,True,True,False,False
control_196,control,new,True,True,True,False,False
control_197,control,returning,False,False,False,False,False
control_198,control,new,True,True,True,False,False
control_199,control,new,True,True,True,False,False
control_200,control,returning,True,True,True,False,False
control_201,control,returning,False,False,False,False,False
control_202,control,new,True,True,True,False,False
control_203,control,new,True,True,False,False,False
control_204,control,new,True,True,True,False,False
control_205,control,new,False,False,False,False,False
control_206,control,new,True,True,True,False,False
control_207,control,returning,True,True,True,False,False
control_208,control,new,True,True,True,False,False
control_209,control,new,True,False,False,False,False
control_210,control,returning,True,True,True,False,False
control_211,control,new,True,False,False,False,False
control_212,control,new,True,True,True,False,False
control_213,control,returning,True,True,True,True,False
control_214,control,returning,True,True,True,False,False
control_215,control,returning,True,True,True,False,False
control_216,control,new,True,False,False,False,False
control_217,control,new,True,True,True,False,False
control_218,control,returning,False,False,False,False,False
control_219,control,new,True,False,False,False,False
control_220,control,new,True,True,True,False,False
control_221,control,new,True,True,True,False,False
control_222,control,returning,True,True,True,False,False
control_223,control,returning,True,False,False,False,False
control_224,control,new,True,True,True,False,False
control_225,control,returning,False,False,False,False,False
control_226,control,new,True,True,True,False,False
control_227,control,new,True,True,True,False,False
control_228,control,returning,True,False,False,False,False
control_229,control,new,True,True,True,False,False
control_230,control,new,False,False,False,False,False
control_231,control,new,True,True,False,False,False
control_232,control,returning,True,False,False,False,False
control_233,control,new,False,False,False,False,False
control_234,control,returning,True,False,False,False,False
control_235,control,returning,True,True,False,False,False
control_236,control,new,True,False,False,False,False
control_237,control,returning,False,False,False,False,False
control_238,control,new,True,True,False,False,False
control_239,control,new,True,True,True,False,False
control_240,control,returning,False,False,False,False,False
control_241,control,returning,False,False,False,False,False
control_242,control,new,True,False,False,False,False
control_243,control,new,True,True,True,True,False
control_244,control,returning,True,False,False,False,False
control_245,control,returning,True,True,True,False,False
control_246,control,returning,False,False,False,False,False
control_247,control,new,True,True,True,True,False
control_248,control,new,True,True,True,False,False
control_249,control,new,False,False,False,False,False
control_250,control,returning,True,True,True,True,False
control_251,control,returning,True,True,True,False,False
control_252,control,new,True,True,True,False,False
control_253,control,new,True,False,False,False,False
control_254,control,new,False,False,False,False,False
control_255,control,returning,True,True,False,False,False
control_256,control,returning,True,True,True,False,False
control_257,control,new,True,True,True,True,False
control_258,control,new,False,False,False,False,False
control_259,control,new,True,True,True,False,False
control_260,control,new,False,False,False,False,False
control_261,control,returning,False,False,False,False,False
control_262,control,new,True,False,False,False,False
control_263,control,new,False,False,False,False,False
control_264,control,returning,True,True,True,False,False
control_265,control,new,True,False,False,False,False
control_266,control,new,True,False,False,False,False
control_267,control,new,False,False,False,False,False
control_268,control,new,False,False,False,False,False
control_269,control,new,False,False,False,False,False
control_270,control,new,False,False,False,False,False
control_271,control,new,True,True,True,False,False
control_272,control,new,False,False,False,False,False
control_273,control,new,False,False,False,False,False
control_274,control,returning,True,True,True,False,False
control_275,control,new,True,True,True,True,False
control_276,control,new,True,True,False,False,False
control_277,control,new,False,False,False,False,False
control_278,control,returning,True,False,False,False,False
control_279,control,returning,True,True,True,True,False
control_280,control,new,True,True,True,False,False
control_281,control,new,True,True,False,False,False
control_282,control,new,True,True,False,False,False
control_283,control,new,True,True,True,False,False
control_284,control,new,False,False,False,False,False
control_285,control,new,True,True,True,False,False
control_286,control,new,False,False,False,False,False
control_287,control,new,True,False,False,False,False
control_288,control,new,False,False,False,False,False
control_289,control,new,True,True,True,False,False
control_290,control,returning,True,True,True,False,False
control_291,control,new,True,False,False,False,False
control_292,control,returning,True,True,True,False,False
control_293,control,new,True,True,True,False,False
control_294,control,returning,False,False,False,False,False
control_295,control,returning,True,True,True,False,False
control_296,control,returning,True,True,False,False,False
control_297,control,returning,True,True,True,False,False
control_298,control,returning,True,True,True,False,False
control_299,control,returning,True,True,True,False,False
control_300,control,returning,True,True,True,False,False
control_301,control,new,True,True,True,False,False
control_302,control,new,False,False,False,False,False
control_303,control,new,True,True,True,False,False
control_304,control,returning,True,True,True,False,False
control_305,control,new,True,True,True,False,False
control_306,control,new,True,True,True,False,False
control_307,control,returning,True,True,True,False,False
control_308,control,new,False,False,False,False,False
control_309,control,new,True,False,False,False,False
control_310,control,new,True,False,False,False,False
control_311,control,new,False,False,False,False,False
control_312,control,new,True,True,True,False,False
control_313,control,new,False,False,False,False,False
control_314,control,new,True,True,True,True,False
control_315,control,new,True,True,True,False,False
control_316,control,new,False,False,False,False,False
control_317,control,returning,False,False,False,False,False
control_318,control,new,False,False,False,False,False
control_319,control,returning,True,True,True,False,False
control_320,control,returning,False,False,False,False,False
control_321,control,new,True,True,True,False,False
control_322,control,new,True,True,True,False,False
control_323,control,new,True,False,False,False,False
control_324,control,returning,True,False,False,False,False
control_325,control,returning,True,True,True,False,False
control_326,control,returning,True,True,True,False,False
control_327,control,new,True,True,True,False,False
control_328,control,returning,False,False,False,False,False
control_329,control,new,False,False,False,False,False
control_330,control,returning,True,True,True,False,False
control_331,control,new,False,False,False,False,False
control_332,control,returning,True,True,True,False,False
control_333,control,returning,True,True,True,False,False
control_334,control,new,False,False,False,False,False
control_335,control,returning,True,True,True,False,False
control_336,control,new,True,False,False,False,False
control_337,control,returning,True,True,True,False,False
control_338,control,new,True,True,True,False,False
control_339,control,returning,False,False,False,False,False
control_340,control,new,True,True,True,False,False
control_341,control,returning,True,True,False,False,False
control_342,control,returning,True,True,True,False,False
control_343,control,new,True,True,True,True,False
control_344,control,returning,True,False,False,False,False
control_345,control,returning,False,False,False,False,False
control_346,control,returning,False,False,False,False,False
control_347,control,new,False,False,False,False,False
control_348,control,new,True,True,False,False,False
control_349,control,new,False,False,False,False,False
control_350,control,returning,True,False,False,False,False
control_351,control,new,True,False,False,False,False
control_352,control,new,True,False,False,False,False
control_353,control,new,True,True,True,False,False
control_354,control,new,False,False,False,False,False
control_355,control,new,True,True,True,False,False
control_356,control,returning,False,False,False,False,False
control_357,control,returning,True,True,True,False,False
control_358,control,new,True,False,False,False,False
control_359,control,new,True,True,False,False,False
control_360,control,returning,True,True,True,False,False
control_361,control,new,True,False,False,False,False
control_362,control,new,True,True,True,False,False
control_363,control,new,False,False,False,False,False
control_364,control,returning,True,True,False,False,False
control_365,control,new,True,False,False,False,False
control_366,control,returning,True,True,False,False,False
control_367,control,returning,True,True,True,False,False
control_368,control,new,True,True,True,False,False
control_369,control,returning,True,True,True,False,False
control_370,control,returning,True,True,True,False,False
control_371,control,new,True,True,True,False,False
control_372,control,new,True,True,True,False,False
control_373,control,new,True,True,True,False,False
control_374,control,new,True,True,True,False,False
control_375,control,new,True,True,True,False,False
control_376,control,returning,True,True,True,True,False
control_377,control,new,True,False,False,False,False
control_378,control,new,False,False,False,False,False
control_379,control,returning,True,True,True,False,False
control_380,control,new,True,True,True,False,False
control_381,control,returning,True,True,True,False,False
control_382,control,returning,True,True,True,False,False
control_383,control,new,True,True,True,True,False
control_384,control,new,False,False,False,False,False
control_385,control,returning,False,False,False,False,False
control_386,control,returning,True,False,False,False,False
control_387,control,returning,True,True,True,False,False
control_388,control,new,True,True,True,False,False
control_389,control,returning,True,True,True,False,False
control_390,control,returning,True,True,True,False,False
control_391,control,new,False,False,False,False,False
control_392,control,new,True,True,True,False,False
control_393,control,returning,True,True,True,False,False
control_394,control,new,True,True,True,True,False
control_395,control,new,True,True,True,False,False
control_396,control,returning,True,True,True,False,False
control_397,control,new,False,False,False,False,False
control_398,control,new,True,False,False,False,False
control_399,control,new,False,False,False,False,False
control_400,control,new,False,False,False,False,False
control_401,control,returning,True,True,True,False,False
control_402,control,returning,True,True,True,False,False
control_403,control,new,True,False,False,False,False
control_404,control,returning,True,False,False,False,False
control_405,control,returning,True,False,False,False,False
control_406,control,new,False,False,False,False,False
control_407,control,returning,True,True,True,False,False
control_408,control,new,False,False,False,False,False
control_409,control,returning,True,True,True,False,False
control_410,control,returning,True,True,True,True,True
control_411,control,returning,True,True,True,False,False
control_412,control,new,True,True,False,False,False
control_413,control,returning,True,True,False,False,False
control_414,control,new,True,True,True,False,False
control_415,control,new,False,False,False,False,False
control_416,control,new,True,False,False,False,False
control_417,control,returning,True,False,False,False,False
control_418,control,new,True,True,True,False,False
control_419,control,returning,True,True,True,True,False
control_420,control,returning,True,True,True,False,False
control_421,control,new,True,False,False,False,False
control_422,control,new,True,True,True,False,False
control_423,control,new,True,False,False,False,False
control_424,control,returning,True,True,True,False,False
control_425,control,returning,True,True,True,True,False
control_426,control,new,True,True,True,False,False
control_427,control,returning,True,True,True,True,False
control_428,control,new,True,False,False,False,False
control_429,control,returning,True,True,True,True,False
control_430,control,returning,True,True,True,False,False
control_431,control,returning,False,False,False,False,False
control_432,control,returning,False,False,False,False,False
control_433,control,returning,True,True,False,False,False
control_434,control,new,True,True,True,True,False
control_435,control,new,True,True,True,False,False
control_436,control,new,False,False,False,False,False
control_437,control,new,True,True,True,False,False
control_438,control,returning,True,False,False,False,False
control_439,control,returning,True,True,True,False,False
control_440,control,returning,True,True,True,False,False
control_441,control,new,True,True,True,False,False
control_442,control,returning,False,False,False,False,False
control_443,control,new,False,False,False,False,False
control_444,control,new,True,False,False,False,False
control_445,control,returning,True,True,True,False,False
control_446,control,returning,True,True,True,False,False
control_447,control,returning,True,True,True,True,False
control_448,control,new,True,True,True,True,False
control_449,control,returning,True,True,True,False,False
control_450,control,new,False,False,False,False,False
control_451,control,returning,False,False,False,False,False
control_452,control,returning,True,True,True,False,False
control_453,control,new,True,False,False,False,False
control_454,control,new,True,True,True,True,False
control_455,control,new,True,True,True,False,False
control_456,control,returning,True,False,False,False,False
control_457,control,new,True,False,False,False,False
control_458,control,returning,True,True,True,False,False
control_459,control,returning,False,False,False,False,False
control_460,control,new,True,False,False,False,False
control_461,control,new,True,True,True,False,False
control_462,control,returning,True,True,True,True,False
control_463,control,new,False,False,False,False,False
control_464,control,new,True,True,True,False,False
control_465,control,returning,True,True,True,False,False
control_466,control,returning,True,True,True,False,False
control_467,control,returning,True,True,True,False,False
control_468,control,new,False,False,False,False,False
control_469,control,new,True,True,True,False,False
control_470,control,new,False,False,False,False,False
control_471,control,new,True,False,False,False,False
control_472,control,new,True,True,True,False,False
control_473,control,new,True,True,True,False,False
control_474,control,new,True,True,True,False,False
control_475,control,new,True,True,True,False,False
control_476,control,new,True,True,True,False,False
control_477,control,returning,True,True,True,False,False
control_478,control,returning,False,False,False,False,False
control_479,control,new,False,False,False,False,False
control_480,control,new,True,True,True,False,False
control_481,control,new,True,True,True,False,False
control_482,control,new,False,False,False,False,False
control_483,control,new,True,True,True,False,False
control_484,control,new,False,False,False,False,False
control_485,control,new,True,False,False,False,False
control_486,control,new,False,False,False,False,False
control_487,control,new,True,True,True,False,False
control_488,control,new,True,True,True,False,False
control_489,control,new,True,True,True,False,False
control_490,control,returning,True,True,True,False,False
control_491,control,returning,False,False,False,False,False
control_492,control,returning,False,False,False,False,False
control_493,control,new,True,False,False,False,False
control_494,control,returning,True,True,True,True,False
control_495,control,new,True,True,False,False,False
control_496,control,new,True,True,True,False,False
control_497,control,returning,True,False,False,False,False
control_498,control,new,False,False,False,False,False
control_499,control,new,False,False,False,False,False
control_500,control,returning,True,True,True,False,False
control_501,control,returning,True,True,True,True,False
control_502,control,returning,True,True,True,True,False
control_503,control,new,True,True,True,False,False
control_504,control,new,True,True,True,False,False
control_505,control,returning,True,True,True,False,False
control_506,control,new,True,True,True,False,False
control_507,control,returning,True,True,True,False,False
control_508,control,new,False,False,False,False,False
control_509,control,new,True,False,False,False,False
control_510,control,new,True,True,True,False,False
control_511,control,returning,True,True,True,True,True
control_512,control,new,False,False,False,False,False
control_513,control,new,True,False,False,False,False
control_514,control,new,True,True,True,True,False
control_515,control,new,True,True,True,False,False
control_516,control,new,True,False,False,False,False
control_517,control,returning,True,True,True,False,False
control_518,control,new,False,False,False,False,False
control_519,control,returning,True,True,True,False,False
control_520,control,returning,True,True,True,False,False
control_521,control,new,True,True,True,True,False
control_522,control,new,False,False,False,False,False
control_523,control,returning,False,False,False,False,False
control_524,control,new,True,True,True,False,False
control_525,control,new,True,False,False,False,False
control_526,control,returning,True,False,False,False,False
control_527,control,returning,True,True,True,True,True
control_528,control,returning,True,True,True,True,False
control_529,control,new,True,True,True,True,False
control_530,control,returning,False,False,False,False,False
control_531,control,returning,True,True,True,True,False
control_532,control,new,True,True,True,False,False
control_533,control,returning,True,False,False,False,False
control_534,control,new,True,True,True,False,False
control_535,control,new,True,True,False,False,False
control_536,control,new,True,True,True,False,False
control_537,control,new,False,False,False,False,False
control_538,control,new,True,True,True,False,False
control_539,control,returning,True,True,True,True,False
control_540,control,returning,True,True,True,False,False
control_541,control,new,True,True,True,False,False
control_542,control,returning,False,False,False,False,False
control_543,control,returning,True,False,False,False,False
control_544,control,new,True,True,True,False,False
control_545,control,new,True,True,True,False,False
control_546,control,new,False,False,False,False,False
control_547,control,new,True,True,True,False,False
control_548,control,returning,True,True,True,False,False
control_549,control,new,True,True,True,False,False
control_550,control,new,True,True,True,False,False
control_551,control,new,True,True,True,False,False
control_552,control,new,True,True,True,False,False
control_553,control,returning,True,True,True,False,False
control_554,control,new,True,True,False,False,False
control_555,control,new,True,True,True,True,False
control_556,control,new,False,False,False,False,False
control_557,control,new,True,True,True,False,False
control_558,control,new,True,True,True,False,False
control_559,control,new,True,False,False,False,False
control_560,control,new,False,False,False,False,False
control_561,control,new,True,True,True,False,False
control_562,control,returning,True,False,False,False,False
control_563,control,returning,False,False,False,False,False
control_564,control,returning,True,True,True,False,False
control_565,control,returning,True,True,True,False,False
control_566,control,returning,False,False,False,False,False
control_567,control,new,True,True,True,False,False
control_568,control,new,True,True,False,False,False
control_569,control,new,True,True,True,True,False
control_570,control,new,True,True,True,False,False
control_571,control,returning,False,False,False,False,False
control_572,control,new,True,False,False,False,False
control_573,control,returning,True,True,True,True,False
control_574,control,returning,False,False,False,False,False
control_575,control,new,True,True,True,False,False
control_576,control,returning,False,False,False,False,False
control_577,control,new,True,True,False,False,False
control_578,control,returning,True,True,True,False,False
control_579,control,new,True,True,True,True,False
control_580,control,new,True,True,True,False,False
control_581,control,new,False,False,False,False,False
control_582,control,new,False,False,False,False,False
control_583,control,new,False,False,False,False,False
control_584,control,returning,True,False,False,False,False
control_585,control,returning,False,False,False,False,False
control_586,control,new,True,True,True,False,False
control_587,control,new,False,False,False,False,False
control_588,control,new,True,True,True,False,False
control_589,control,new,False,False,False,False,False
control_590,control,returning,True,True,True,False,False
control_591,control,new,True,True,True,False,False
control_592,control,new,True,False,False,False,False
control_593,control,new,True,True,True,False,False
control_594,control,new,True,True,True,False,False
control_595,control,new,False,False,False,False,False
control_596,control,returning,True,True,False,False,False
control_597,control,returning,True,True,True,True,False
control_598,control,returning,True,True,True,False,False
control_599,control,returning,True,True,True,False,False
control_600,control,new,True,True,True,False,False
control_601,control,returning,False,False,False,False,False
control_602,control,returning,False,False,False,False,False
control_603,control,returning,True,False,False,False,False
control_604,control,returning,True,True,True,False,False
control_605,control,returning,True,True,True,True,False
control_606,control,returning,False,False,False,False,False
control_607,control,new,True,True,False,False,False
control_608,control,returning,True,True,True,True,False
control_609,control,new,False,False,False,False,False
control_610,control,new,False,False,False,False,False
control_611,control,returning,True,True,True,False,False
control_612,control,returning,True,True,True,True,False
control_613,control,returning,True,True,True,False,False
control_614,control,new,True,True,True,False,False
control_615,control,returning,True,True,True,False,False
control_616,control,returning,True,True,True,False,False
control_617,control,new,True,True,True,False,False
control_618,control,new,True,True,True,False,False
control_619,control,new,True,True,False,False,False
control_620,control,returning,True,False,False,False,False
control_621,control,new,False,False,False,False,False
control_622,control,returning,True,True,True,False,False
control_623,control,new,False,False,False,False,False
control_624,control,returning,True,True,False,False,False
control_625,control,new,True,True,True,False,False
control_626,control,returning,False,False,False,False,False
control_627,control,new,True,False,False,False,False
control_628,control,new,True,True,True,True,False
control_629,control,returning,True,False,False,False,False
control_630,control,returning,True,True,True,True,False
control_631,control,returning,True,True,True,True,False
control_632,control,new,True,True,False,False,False
control_633,control,new,True,True,True,True,False
control_634,control,new,True,True,True,False,False
control_635,control,new,True,True,True,False,False
control_636,control,returning,True,True,True,False,False
control_637,control,returning,True,True,True,False,False
control_638,control,returning,True,True,True,True,False
control_639,control,returning,True,True,True,False,False
control_640,control,returning,True,True,True,False,False
control_641,control,returning,True,False,False,False,False
control_642,control,new,True,True,True,False,False
control_643,control,new,True,True,True,False,False
control_644,control,returning,True,True,True,False,False
control_645,control,returning,False,False,False,False,False
control_646,control,new,False,False,False,False,False
control_647,control,new,True,True,True,False,False
control_648,control,returning,True,True,True,False,False
control_649,control,new,True,True,True,False,False
control_650,control,new,False,False,False,False,False
control_651,control,returning,False,False,False,False,False
control_652,control,returning,True,False,False,False,False
control_653,control,new,True,True,True,False,False
control_654,control,returning,True,True,True,True,False
control_655,control,new,False,False,False,False,False
control_656,control,returning,False,False,False,False,False
control_657,control,new,True,True,True,False,False
control_658,control,new,True,True,False,False,False
control_659,control,new,True,True,True,False,False
control_660,control,new,True,True,False,False,False
control_661,control,returning,False,False,False,False,False
control_662,control,new,True,False,False,False,False
control_663,control,new,True,False,False,False,False
control_664,control,new,True,True,True,False,False
control_665,control,returning,True,True,True,True,False
control_666,control,returning,False,False,False,False,False
control_667,control,returning,True,True,True,False,False
control_668,control,new,False,False,False,False,False
control_669,control,new,True,False,False,False,False
control_670,control,new,True,True,True,False,False
control_671,control,new,True,True,False,False,False
control_672,control,returning,True,False,False,False,False
control_673,control,returning,True,True,True,False,False
control_674,control,new,True,True,True,False,False
control_675,control,new,True,True,True,False,False
control_676,control,returning,True,True,True,False,False
control_677,control,new,True,True,True,False,False
control_678,control,new,True,True,True,False,False
control_679,control,new,False,False,False,False,False
control_680,control,new,False,False,False,False,False
control_681,control,new,True,True,True,False,False
control_682,control,new,False,False,False,False,False
control_683,control,new,True,False,False,False,False
control_684,control,returning,False,False,False,False,False
control_685,control,new,True,True,True,False,False
control_686,control,new,True,True,True,False,False
control_687,control,returning,True,True,True,False,False
control_688,control,returning,False,False,False,False,False
control_689,control,new,True,False,False,False,False
control_690,control,new,True,True,True,True,False
control_691,control,returning,True,True,True,False,False
control_692,control,new,True,True,False,False,False
control_693,control,new,False,False,False,False,False
control_694,control,returning,True,True,True,False,False
control_695,control,new,True,True,True,False,False
control_696,control,returning,True,True,True,True,False
control_697,control,new,True,True,True,False,False
control_698,control,returning,True,True,True,False,False
control_699,control,new,False,False,False,False,False
control_700,control,new,False,False,False,False,False
control_701,control,new,True,True,True,True,False
control_702,control,new,True,True,True,True,False
control_703,control,returning,True,True,True,False,False
control_704,control,new,True,True,True,False,False
control_705,control,new,True,True,True,False,False
control_706,control,returning,True,True,True,False,False
control_707,control,returning,True,True,True,False,False
control_708,control,new,True,True,True,False,False
control_709,control,new,True,True,True,False,False
control_710,control,returning,False,False,False,False,False
control_711,control,returning,True,True,True,False,False
control_712,control,returning,True,True,True,False,False
control_713,control,returning,False,False,False,False,False
control_714,control,returning,True,True,True,True,False
control_715,control,new,True,True,True,True,False
control_716,control,new,True,True,True,False,False
control_717,control,new,True,True,True,False,False
control_718,control,returning,True,True,True,False,False
control_719,control,returning,True,True,True,False,False
control_720,control,new,True,False,False,False,False
control_721,control,new,True,True,True,False,False
control_722,control,new,True,True,True,False,False
control_723,control,returning,True,True,False,False,False
control_724,control,new,True,True,True,False,False
control_725,control,new,True,False,False,False,False
control_726,control,new,False,False,False,False,False
control_727,control,new,True,True,True,False,False
control_728,control,new,True,True,True,False,False
control_729,control,new,True,True,True,False,False
control_730,control,new,True,True,False,False,False
control_731,control,new,False,False,False,False,False
control_732,control,new,True,True,True,False,False
control_733,control,new,True,True,True,False,False
control_734,control,new,False,False,False,False,False
control_735,control,returning,True,True,False,False,False
control_736,control,new,True,True,True,False,False
control_737,control,new,True,True,False,False,False
control_738,control,new,True,True,True,False,False
control_739,control,new,True,True,True,False,False
control_740,control,new,True,True,True,False,False
control_741,control,new,True,True,True,False,False
control_742,control,returning,False,False,False,False,False
control_743,control,new,True,True,True,False,False
control_744,control,new,True,True,True,True,False
control_745,control,new,True,True,True,False,False
control_746,control,new,True,True,True,True,False
control_747,control,new,True,False,False,False,False
control_748,control,returning,False,False,False,False,False
control_749,control,returning,True,True,True,False,False
control_750,control,new,True,True,False,False,False
control_751,control,new,True,True,True,False,False
control_752,control,new,True,True,True,False,False
control_753,control,new,True,False,False,False,False
control_754,control,returning,False,False,False,False,False
control_755,control,new,True,True,True,False,False
control_756,control,new,True,True,True,False,False
